species,life_cycle,gametes,size,branching,tissue_complexity,attachment,stype,calcification,coenocyte,thickness,growth,pneumatocysts,articulated,position_to_benthos,blades,branch_shape,midrib,blade_category,tidal,bottom_type,eco_zone
halimeda tuna,diplobiontic,anisogamous,10,irregular,unicellular,rhizoidal,n,y,y,1,tip,n,y,flexible,not leaflike,flattened,n,none,subtidal,either,tropical
halosaccion glandiforme,triphasic,oogamous,15,unbranched,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,upright,not leaflike,none,n,none,intertidal,hard,temperate
hedophyllum dentigerum,alternation of generations,oogamous,150,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,none,n,single,,,
hormosira banksii,diplobiontic,oogamous,30,dichotomous,parenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,intertidal,hard,temperate
laminaria farlowii,alternation of generations,oogamous,500,unbranched,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,flexible,leaflike,terete,n,single,subtidal,hard,temperate
laminaria sinclairii,alternation of generations,oogamous,100,unbranched,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,upright,leaflike,terete,n,single,intertidal,hard,temperate
laurencia pacifica,triphasic,oogamous,16,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,intertidal,hard,temperate
leathesia marina,alternation of generations,isogamous,15,unbranched,parenchymatous,discoid,n,n,n,4,intercalary,n,n,upright,not leaflike,none,n,none,intertidal,epiphytic/hard,temperate
lessonia nigrescens,alternation of generations,oogamous,400,dichotomous,parenchymatous,discoid,y,n,n,4,intercalary,n,n,flexible,leaflike,terete,n,few large,intertidal,hard,temperate
lithothamnion mulleri,triphasic,oogamous,4,irregular,pseudoparenchymatous,crustose,n,y,n,4,tip,n,n,prostrate,not leaflike,none,n,none,both,hard,
lithothrix aspergillum,triphasic,oogamous,13,dichotomous,pseudoparenchymatous,crustose,n,y,n,4,tip,n,y,upright,not leaflike,terete,n,none,intertidal,hard,temperate
lobophora rosacea,alternation of generations,oogamous,10,unbranched,parenchymatous,rhizoidal,n,n,n,4,tip,n,n,flexible,leaflike,none,n,few large,subtidal,hard,tropical
macrocystis pyrifera,alternation of generations,oogamous,3050,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,y,n,flexible,leaflike,terete,n,many small,subtidal,hard,temperate
mastocarpus papillatus,triphasic,oogamous,15,dichotomous,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,flattened,n,few large,intertidal,hard,temperate
mazzaella affinis,triphasic,oogamous,15,dichotomous,pseudoparenchymatous,discoid,y,n,n,4,tip,n,n,upright,leaflike,flattened,n,many small,intertidal,hard,temperate
mazzaella oregona,triphasic,oogamous,30,unbranched,pseudoparenchymatous,discoid,y,n,n,4,tip,n,n,flexible,leaflike,none,n,few large,intertidal,hard,temperate
mazzaella splendens,triphasic,oogamous,40,unbranched,pseudoparenchymatous,discoid,y,n,n,4,tip,n,n,flexible,leaflike,none,n,few large,subtidal,hard,temperate
mesophyllum lichenoides,triphasic,oogamous,18,unbranched,pseudoparenchymatous,crustose,n,y,n,4,tip,n,n,prostrate,not leaflike,none,n,none,subtidal,epiphytic/hard,temperate
microcladia borealis,triphasic,oogamous,20,branching off main axis,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,flattened,n,none,intertidal,hard,temperate
microdictyon setchellianum,alternation of generations,isogamous,6,reticulate,filamentous,rhizoidal,n,n,n,1,centripetal invagination,n,n,flexible,not leaflike,terete,n,none,both,epiphytic/hard,tropical
neogastroclonium subarticulatum ,triphasic,oogamous,26,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,intertidal,hard,temperate
neorhodomela larix,triphasic,oogamous,30,whorled,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,intertidal,hard,temperate
nereocystis luetkeana,alternation of generations,oogamous,4000,unbranched,parenchymatous,hapterous,y,n,n,4,intercalary,y,n,flexible,leaflike,terete,n,few large,subtidal,hard,temperate
osmundea spectabilis,triphasic,oogamous,10,branching off main axis,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,both,hard,temperate
padina boryana,alternation of generations,oogamous,13,dichotomous,parenchymatous,rhizoidal,n,y,n,3,tip,n,n,flexible,leaflike,none,n,few large,subtidal,hard,tropical
palmaria palmata,triphasic,oogamous,50,dichotomous,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,both,hard,temperate
pelvetiopsis limitata,diplobiontic,oogamous,15,dichotomous,parenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,flattened,n,none,subtidal,hard,temperate
penicillus capitatus,alternation of generations,anisogamous,15,dichotomous,unicellular,rhizoidal,y,y,y,1,tip,n,n,upright,not leaflike,terete,n,none,subtidal,soft,tropical
penicillus dumetosus,alternation of generations,anisogamous,20,dichotomous,unicellular,rhizoidal,y,y,y,1,tip,n,n,upright,not leaflike,terete,n,none,subtidal,soft,tropical
petalonia fascia,alternation of generations,isogamous,30,unbranched,parenchymatous,discoid,n,n,n,4,diffuse,n,n,flexible,leaflike,none,n,few large,intertidal,hard,
phyllospora comosa,diplobiontic,oogamous,300,irregular,parenchymatous,discoid,y,n,n,4,tip,y,n,upright,leaflike,flattened,n,many small,subtidal,hard,temperate
pleurophycus gardneri,alternation of generations,oogamous,150,unbranched,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,flexible,leaflike,none,y,single,subtidal,hard,temperate
plocamium cartilagineum,triphasic,oogamous,30,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,flattened,n,none,both,"""Often on rocks burried in sand""MAC",temperate
polysiphonia elongata,triphasic,oogamous,25,irregular,filamentous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,both,epiphytic/hard,temperate
postelsia palmaeformis,alternation of generations,oogamous,75,irregular,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,upright,leaflike,terete,n,many small,intertidal,hard,temperate
prionitis lanceolata,triphasic,oogamous,30,dichotomous,pseudoparenchymatous,discoid,y,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,both,,temperate
prionitis sternbergii,triphasic,oogamous,40,irregular,pseudoparenchymatous,discoid,y,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,both,hard,temperate
pterocladia capillacea,triphasic,oogamous,17,dichotomous,pseudoparenchymatous,rhizoidal,n,n,n,4,tip,n,n,flexible,not leaflike,flattened,n,none,both,hard,temperate
pterygophora californica,alternation of generations,oogamous,200,irregular,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,upright,leaflike,terete,n,many small,subtidal,hard,temperate
pyropia perforata,triphasic,oogamous,30,unbranched,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,leaflike,none,n,single,intertidal,hard,temperate
ralfsia pacifica,alternation of generations,anisogamous,12,unbranched,pseudoparenchymatous,crustose,n,n,n,4,intercalary,n,n,prostrate,not leaflike,none,n,none,subtidal,hard,tropical
rhipocephalus phoenix,alternation of generations,anisogamous,12,dichotomous,unicellular,rhizoidal,y,y,y,1,tip,n,n,upright,not leaflike,flattened,n,none,subtidal,soft,tropical
saccharina latissima,alternation of generations,oogamous,400,unbranched,parenchymatous,hapterous,y,n,n,4,intercalary,n,n,flexible,leaflike,none,n,single,subtidal,hard,temperate
sarcodiotheca gaudichaudii,triphasic,oogamous,40,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,both,hard,temperate
sargassum horneri,diplobiontic,oogamous,300,branching off main axis,parenchymatous,discoid,y,n,n,4,tip,y,n,flexible,leaflike,terete,n,many small,subtidal,hard,temperate
sargassum muticum,diplobiontic,oogamous,200,dichotomous,parenchymatous,discoid,y,n,n,4,tip,y,n,flexible,leaflike,terete,n,many small,subtidal,hard,temperate
sargassum pacificum,diplobiontic,oogamous,30,branching off main axis,parenchymatous,discoid,y,n,n,4,tip,y,n,flexible,leaflike,terete,n,many small,subtidal,hard,tropical
sargassum palmeri,diplobiontic,oogamous,70,branching off main axis,parenchymatous,discoid,y,n,n,4,tip,y,n,flexible,leaflike,terete,n,many small,subtidal,hard,temperate
silvetia compressa,diplobiontic,oogamous,30,dichotomous,parenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,flattened,n,many small,intertidal,hard,temperate
spyridia filamentosa,triphasic,oogamous,2,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,not leaflike,terete,n,none,both,soft,tropical
stephanocystis doica,diplobiontic,oogamous,200,branching off main axis,parenchymatous,discoid,y,n,n,4,tip,y,n,upright,leaflike,terete,y,many small,both,hard,temperate
stephanocystis osmundacea,diplobiontic,oogamous,800,branching off main axis,parenchymatous,discoid,y,n,n,4,tip,y,n,upright,leaflike,terete,y,many small,both,hard,temperate
ulva expansa,alternation of generations,anisogamous,100,unbranched,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,leaflike,none,n,single,both,,
ulva intestinalis,alternation of generations,anisogamous,30,unbranched,parenchymatous,discoid,n,n,n,2,diffuse,n,n,flexible,leaflike,none,n,single,both,both,tropical/temperate
ulva taeniata,alternation of generations,isogamous,200,unbranched,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,leaflike,none,n,single,both,,tropical/temperate
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
