species,,Life stage collectetd,notes,G= Gametophyte,,
halimeda discoidea,,Diplontic,https://pdf.sciencedirectassets.com/273046/1-s2.0-S0065288108X60250/1-s2.0-S006528810860303X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEJn%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQDLpLAIIgU%2Fnuiry5bBr1sPwPyZ3ZLG3AGb2NI%2FiXYa4gIgBv4sxHDFdwwJCfMOR0XRkU5O0NwcGyUsyon0fyCV35oqsgUIUhAFGgwwNTkwMDM1NDY4NjUiDLnq8rc%2FYS2i8A6RCSqPBa9ZThX3iDV5MfqGNgMShmh8c1z1cas7IMrSNpYlNkFnX%2BkxztNLqRqNwkLAhVdDK%2FNQfHcUwwy%2FcG2MuRtabVozIW3GNViDfMqzBZrBxquPkVNs1Ot0aYvaSqc9uKqOP5284bKLyfnAFBN7%2BpKWNNl38rJzb9iGHxbA58tPCQ3XFQ5tbgKS5takq795v401UXh%2FWFapf9bxLsFmLW2akVdqEFuub1Vx3%2BX9onSC8a%2BFOcMjd8R3PNqYOh75ApLXpWbTMBNjsSVL68kPESGwAgo5R88JG0PZRXBgyq49eNq1%2BtLVri%2B5h%2BR9w95uMeEq7kOg8szG0I8HFA5sBY%2BOU%2BOZV%2Fo7TqGC8YhFATzeIw41Fgm9Jp8ySdnOqtlZbObFf9SDGOVyEUA4f8Wgm34FGKw5pmBnHgfzPM3A%2BvtAmmyyEgWnvBxRxQuxcDhRwzVMT6IjswSn%2BQDQPcK86v6yNHfxZ54LcieMSthBxx8Lmf%2BZT3206GNMsDW1fFObc4%2BVSIVVWG0H%2FFEFf3PQWfIZ546tDNQoWOcg0CS0aJFbBHE6uaZGJDnpEOEYuDsqL78J9mF1Ryo2uUAqCXeeAiQvoJhwSZfY53w6Nb3Scvsu%2BvXizU%2B1srOyJYi2ytOJ2HnISK8vXA6YrAlRmqkAJ1hUF7xfBY%2FbTk3bfCldCvSlJXPQ7NxK3PLSTOihMEvXHHcy6QMOydmt9GtbiQVSXe0XuMLwVcMlTvlY3zOBRmTqg82JurmOj%2BGu3yjDLsn68eB%2FrCSHlHad6hKMhi52T2gIu9VDnuk0URib4mJzQbXo2dQw9pHy%2FEMC53BMiTb30XGOez9BnvjUYLdcTsAFU%2B7T7swYY%2BTbB7qfxdWFAPrmqTEw996koAY6sQGehzMvY2fSYMLGIC04KqcIjcj1chQmkICvXEfLVqq2V1K8aMe%2BTOfkVE%2Fkgf6NnIWhWgosIruGE09lNFEorED66NUFNNHbstTGw40Apakit3AVhU5bqlpwVyoBSOS0d%2B4BYQrc04NfA27sTkT22O0dQunhz0IwqNp8ovIFVzOCHwBKT6txwM1Rw70ZERW6w6lBjXwUC5eGFuCt%2F3kLtk%2FxbHUCmKid%2BNMIMdIBV%2FRo32c%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230309T020105Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY7OUALGGA%2F20230309%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a5e64572816e95de5880db61ab01d02c7e1f594b442a25a92f9084358f5fe8eb&hash=98c9b93b2c2ebc0d6bffeceb5956cf714e3373c7a21ac5f1ae6b615b30c3ef91&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S006528810860303X&tid=spdf-834aee05-1362-4684-b42d-4b54cd7432ca&sid=ec3e36305014c04cb779c09837d1418716e1gxrqa&type=client&tsoh=d3d3LXNjaWVuY2VkaXJlY3QtY29tLnByb3h5LmxpYnJhcnkudWNzYi5lZHU6OTQ0Mw%3D%3D&ua=0f15570757030c02595556&rr=7a4fba632c102b7d&cc=us,page 197 on,,
halimeda incrassata,,Diplontic,https://onlinelibrary-wiley-com.proxy.library.ucsb.edu:9443/doi/pdf/10.1046/j.1529-8817.1999.3510024.x,,,
halimeda opuntia,,Diplontic,https://onlinelibrary-wiley-com.proxy.library.ucsb.edu:9443/doi/pdf/10.1046/j.1529-8817.1999.3510024.x,,,
halimeda tuna,,Diplontic,https://onlinelibrary-wiley-com.proxy.library.ucsb.edu:9443/doi/pdf/10.1046/j.1529-8817.1999.3510024.x,,,
halosaccion glandiforme,,Either - Isomorphic,,,,
hedophyllum dentigerum,,Sporophyte,,,,
hormosira banksii,,Diplontic,,,,
laminaria farlowii,,Sporophyte,,,,
laminaria sinclairii,,Sporophyte,,,,
laurencia pacifica,,Either - Isomorphic,"I had a hard time finding this - though it is cultured everywhere! It is in the ceramiales, so I took that",,,
leathesia marina,,Sporophyte,,,,
lessonia nigrescens,,Sporophyte,,,,
lithothamnion mulleri,,Either - Isomorphic,,,,
lithothrix aspergillum,,Either - Isomorphic,https://eol.org/pages/902594,,,
lobophora rosacea,,Unknown LC,https://en.wikipedia.org/wiki/Lobophora_(alga),,,may be same as Dictyota
macrocystis pyrifera,,Sporophyte,,,,
mastocarpus papillatus,,Gametophyte,,,,
mazzaella affinis,,Either - Isomorphic,,,,
mazzaella oregona,,Either - Isomorphic,,,,
mazzaella splendens,,Either - Isomorphic,,,,
mesophyllum lichenoides,,Either - Isomorphic,,,,
microcladia borealis,,Either - Isomorphic,https://eol.org/pages/902577,,,
microdictyon setchellianum,,Either - Isomorphic,,,,
neogastroclonium subarticulatum,,Tetrasporophyte,https://www.algaebase.org/search/genus/detail/?genus_id=50867,,,
neorhodomela larix,,Either - Isomorphic,https://marine.ucsc.edu/target/target-species-neorhodomela.html,,,
nereocystis luetkeana,,Sporophyte,,,,
osmundea spectabilis,,Either - Isomorphic,https://link.springer.com/article/10.1007/s10811-020-02183-4,,,
padina boryana,,Either - Isomorphic,https://en.wikipedia.org/wiki/Padina_(alga),,,
palmaria palmata,,Tetrasporophyte,"https://www.marlin.ac.uk//biotic/browse.php?sp=4241#:~:text=The%20unusual%20life%20cycle%20of,tetrasporophytes%20and%20scarcer%20male%20gametophytes.",,,
pelvetiopsis limitata,,Diplontic,yes,,,
penicillus capitatus,,Diplontic,,,,
penicillus dumetosus,,Diplontic,,,,
petalonia fascia,,Gametophyte,but still kinda 'iffy',https://www.tandfonline.com/doi/abs/10.2216/i0031-8884-36-5-389.1,,
phyllospora comosa,,Diplontic,,,,
pleurophycus gardneri,,Sporophyte,,,,
plocamium cartilagineum,,Either - Isomorphic,,,,
polysiphonia elongata,,Either - Isomorphic,https://en.wikipedia.org/wiki/Polysiphonia,,,
postelsia palmaeformis,,Sporophyte,,,,
prionitis lanceolata,,Either - Isomorphic,,,,
prionitis sternbergii,,Either - Isomorphic,,,,
pterocladia capillacea,,Either - Isomorphic,https://eol.org/pages/12976,,,
pterygophora californica,,Sporophyte,,,,
pyropia perforata,,Gametophyte,https://www.frontiersin.org/files/Articles/238074/fpls-08-00062-HTML-r2/image_m/fpls-08-00062-g001.jpg,,,
ralfsia pacifica,,Either - Isomorphic,But still uncertain,,,
rhipocephalus phoenix,,Unknown LC,https://www.algaebase.org/search/genus/detail/?genus_id=42541,,,
saccharina latissima,,Sporophyte,"https://www.marlin.ac.uk/species/detail/1375#:~:text=Saccharina%20latissima%20has%20a%20typical,is%20a%20short%2Dlived%20perennial.",,,
sarcodiotheca gaudichaudii,,Either - Isomorphic,,,,
sargassum horneri,,Diplontic,,,,
sargassum muticum,,Diplontic,,,,
sargassum pacificum,,Diplontic,,,,
sargassum palmeri,,Diplontic,,,,
silvetia compressa,,Diplontic,"https://www.inaturalist.org/guide_taxa/597657#:~:text=Silvetia%20compressa%20is%20a%20perennial,has%20a%20diplontic%20life%20cycle.",,,
spyridia filamentosa,,Either - Isomorphic,https://eol.org/pages/902995,,cat.r.fong@gmail.com,I changed this
stephanocystis dioica,,Diplontic,,,,This was spelled incorrectly
stephanocystis osmundacea,,Diplontic,,,,
ulva expansa,,Either - Isomorphic,,,,
ulva intestinalis,,Either - Isomorphic,,,,
ulva taeniata,,Either - Isomorphic,,,,
